                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.3591,                 5.0358,                 1.2678,                 1.3025,                 5.2252,                  1.166,                0.00368,                0.10017,                0.01112,                0.00967,                 1.0346,                  4.874,                 1.1055,                 1.0237,                 5.0127,                 1.0873,             4.6845e-05,             4.6845e-05,             4.6845e-05
                     33,                 1.2369,                 5.0468,                 1.3118,                  1.173,                 5.2066,                 1.2438,                0.00368,                0.10017,                0.01112,                0.00967,                 1.0346,                  4.874,                 1.1055,                 1.0237,                 5.0127,                 1.0873,             4.7354e-05,             4.7354e-05,             4.7354e-05
                     34,                 1.2865,                 4.9908,                 1.2204,                 1.2356,                  5.093,                  1.161,                0.00372,                0.10041,                0.01088,                0.00945,                 1.0307,                 4.8473,                 1.1053,                 1.0198,                 4.9798,                 1.0844,              4.733e-05,              4.733e-05,              4.733e-05
                     35,                 1.1146,                 4.9264,                 1.1463,                 1.1052,                 5.0712,                 1.0914,                0.00384,                0.10293,                0.01234,                0.01073,                 1.0233,                 4.8255,                 1.1089,                 1.0104,                 4.9496,                 1.0793,              4.733e-05,              4.733e-05,              4.733e-05
                     36,                 1.3047,                 4.9484,                 1.2671,                 1.2861,                 5.0722,                  1.224,                0.00394,                0.10244,                0.01285,                0.01116,                 1.0176,                  4.796,                 1.1046,                 1.0068,                 4.9121,                 1.0751,              4.634e-05,              4.634e-05,              4.634e-05
                     37,                 1.3345,                 4.9008,                 1.3108,                 1.3194,                 5.0277,                 1.2446,                0.00394,                0.10244,                0.01285,                0.01116,                 1.0176,                  4.796,                 1.1046,                 1.0068,                 4.9121,                 1.0751,              4.535e-05,              4.535e-05,              4.535e-05
                     38,                 1.3123,                 4.8927,                  1.283,                  1.261,                 5.1038,                 1.2082,                0.00408,                0.10329,                0.01357,                0.01181,                 1.0153,                 4.7732,                 1.1048,                 1.0048,                 4.8789,                 1.0727,              4.436e-05,              4.436e-05,              4.436e-05
                     39,                 1.2128,                 4.9763,                 1.2363,                 1.2251,                 5.0503,                 1.1784,                0.00408,                0.08695,                0.01431,                0.01293,                 1.0129,                 4.7492,                 1.1038,                 1.0001,                 4.8465,                 1.0676,              4.337e-05,              4.337e-05,              4.337e-05
                     40,                 1.2161,                 4.9781,                 1.2069,                 1.1723,                 5.0652,                 1.1463,                0.00432,                0.08676,                0.01484,                 0.0134,                 1.0138,                 4.7367,                 1.1111,                0.99721,                 4.8239,                 1.0722,              4.238e-05,              4.238e-05,              4.238e-05
                     41,                 1.4799,                 4.8525,                 1.4314,                 1.2792,                 5.1348,                 1.2729,                0.00432,                0.08676,                0.01484,                 0.0134,                 1.0138,                 4.7367,                 1.1111,                0.99721,                 4.8239,                 1.0722,              4.139e-05,              4.139e-05,              4.139e-05
                     42,                 1.2511,                 4.8805,                 1.2061,                 1.2157,                 5.0084,                 1.1391,                0.00475,                0.09794,                0.01643,                0.01474,                 1.0212,                 4.7121,                  1.114,                0.99441,                 4.7997,                 1.0731,               4.04e-05,               4.04e-05,               4.04e-05
                     43,                 1.3493,                 5.0699,                 1.2531,                 1.2661,                 5.1037,                 1.1573,                0.00469,                0.09526,                0.01881,                0.01688,                 1.0347,                 4.6981,                 1.1242,                0.99896,                 4.7751,                 1.0718,              3.941e-05,              3.941e-05,              3.941e-05
                     44,                  1.232,                 4.9883,                 1.1958,                 1.1879,                 5.0231,                 1.1167,                0.00481,                0.08333,                0.01943,                0.01743,                 1.0542,                 4.6937,                 1.1423,                 1.0179,                 4.7362,                 1.0746,              3.842e-05,              3.842e-05,              3.842e-05
                     45,                 1.1735,                 4.9265,                 1.1566,                 1.1181,                 4.9529,                 1.0753,                0.00481,                0.08333,                0.01943,                0.01743,                 1.0542,                 4.6937,                 1.1423,                 1.0179,                 4.7362,                 1.0746,              3.743e-05,              3.743e-05,              3.743e-05
                     46,                 1.2763,                 4.7945,                 1.2474,                 1.1647,                 4.9046,                 1.1568,                0.00479,                0.08508,                0.02169,                0.01933,                 1.0631,                 4.6854,                 1.1463,                 1.0168,                 4.7212,                 1.0762,              3.644e-05,              3.644e-05,              3.644e-05
                     47,                 1.2393,                  4.805,                 1.2065,                 1.1989,                 4.9283,                 1.1395,                 0.0047,                0.08518,                0.02264,                0.02025,                 1.0564,                 4.6669,                 1.1455,                0.99825,                  4.703,                 1.0718,              3.545e-05,              3.545e-05,              3.545e-05
                     48,                 1.3108,                 4.8797,                 1.2756,                 1.2933,                 4.9246,                 1.2012,                0.00488,                0.08476,                0.02349,                0.02107,                 1.0732,                 4.6445,                   1.15,                 1.0012,                  4.687,                 1.0888,              3.446e-05,              3.446e-05,              3.446e-05
                     49,                  1.224,                 5.0127,                 1.1948,                  1.208,                  5.029,                 1.1208,                0.00488,                0.08476,                0.02349,                0.02107,                 1.0732,                 4.6445,                   1.15,                 1.0012,                  4.687,                 1.0888,              3.347e-05,              3.347e-05,              3.347e-05
                     50,                 1.3847,                  4.824,                 1.3025,                 1.2595,                 4.9791,                 1.1733,                  0.005,                0.08312,                0.03141,                0.02857,                 1.0742,                 4.6464,                 1.1551,                 1.0166,                 4.6645,                 1.0929,              3.248e-05,              3.248e-05,              3.248e-05
                     51,                 1.1526,                 4.7843,                 1.1316,                 1.1103,                 4.9025,                 1.0709,                0.00513,                0.08329,                0.03302,                0.03026,                  1.065,                 4.6098,                 1.1475,                 1.0063,                 4.6354,                 1.0901,              3.149e-05,              3.149e-05,              3.149e-05
                     52,                 1.3045,                 4.9446,                 1.2689,                 1.2232,                 5.0136,                 1.1765,                0.00395,                 0.0851,                 0.0311,                0.02812,                 1.0728,                 4.5959,                 1.1513,                 1.0146,                 4.6118,                 1.0877,               3.05e-05,               3.05e-05,               3.05e-05
                     53,                 1.1795,                 4.9192,                 1.1636,                 1.1795,                 4.8976,                 1.0972,                0.00395,                 0.0851,                 0.0311,                0.02812,                 1.0728,                 4.5959,                 1.1513,                 1.0146,                 4.6118,                 1.0877,              2.951e-05,              2.951e-05,              2.951e-05
